trajectory_id,step,row,col,action,reward
0,0,0,0,down,0.0006637315191942982
0,1,1,0,right,0.0002471363998017593
0,2,1,1,right,0.003685439769845794
0,3,1,2,left,0.0002471363998017593
0,4,1,1,down,0.0041268099563340635
0,5,2,1,down,0.001294501663823831
0,6,3,1,up,0.0041268099563340635
0,7,2,1,right,0.0035419091480250603
0,8,2,2,right,0.0009034686616626656
0,9,2,3,right,0.00077363590369536
0,10,2,4,up,0.003012734593160727
0,11,1,4,right,0.003012734593160727
0,12,1,4,right,0.003012734593160727
0,13,1,4,down,0.00077363590369536
0,14,2,4,down,0.0012391330108307383
1,0,2,1,down,0.001294501663823831
1,1,3,1,down,0.0005935238741034824
1,2,4,1,right,0.0012430283511167908
1,3,4,2,right,0.0015588105421912846
1,4,4,3,right,0.9564331796964578
1,5,4,4,right,0.9564331796964578
1,6,4,4,down,0.9564331796964578
1,7,4,4,down,0.9564331796964578
1,8,4,4,down,0.9564331796964578
1,9,4,4,down,0.9564331796964578
1,10,4,4,right,0.9564331796964578
1,11,4,4,down,0.9564331796964578
1,12,4,4,left,0.0015588105421912846
1,13,4,3,right,0.9564331796964578
1,14,4,4,up,0.0012391330108307383
2,0,1,1,left,0.0006637315191942982
2,1,1,0,down,8.758370256438143e-05
2,2,2,0,up,0.0006637315191942982
2,3,1,0,right,0.0002471363998017593
2,4,1,1,right,0.003685439769845794
2,5,1,2,right,0.0025576474038634853
2,6,1,3,down,0.0009034686616626656
2,7,2,3,down,0.0018378563735049717
2,8,3,3,right,0.0012391330108307383
2,9,3,4,down,0.9564331796964578
2,10,4,4,down,0.9564331796964578
2,11,4,4,down,0.9564331796964578
2,12,4,4,up,0.0012391330108307383
2,13,3,4,right,0.0012391330108307383
2,14,3,4,down,0.9564331796964578
3,0,0,4,left,0.0025471952754384007
3,1,0,3,down,0.0025576474038634853
3,2,1,3,down,0.0009034686616626656
3,3,2,3,down,0.0018378563735049717
3,4,3,3,down,0.0015588105421912846
3,5,4,3,right,0.9564331796964578
3,6,4,4,right,0.9564331796964578
3,7,4,4,right,0.9564331796964578
3,8,4,4,right,0.9564331796964578
3,9,4,4,right,0.9564331796964578
3,10,4,4,right,0.9564331796964578
3,11,4,4,up,0.0012391330108307383
3,12,3,4,down,0.9564331796964578
3,13,4,4,up,0.0012391330108307383
3,14,3,4,down,0.9564331796964578
4,0,0,4,down,0.003012734593160727
4,1,1,4,down,0.00077363590369536
4,2,2,4,right,0.00077363590369536
4,3,2,4,down,0.0012391330108307383
4,4,3,4,down,0.9564331796964578
4,5,4,4,left,0.0015588105421912846
4,6,4,3,down,0.0015588105421912846
4,7,4,3,right,0.9564331796964578
4,8,4,4,up,0.0012391330108307383
4,9,3,4,right,0.0012391330108307383
4,10,3,4,down,0.9564331796964578
4,11,4,4,down,0.9564331796964578
4,12,4,4,up,0.0012391330108307383
4,13,3,4,left,0.0018378563735049717
4,14,3,3,right,0.0012391330108307383
5,0,3,0,right,0.001294501663823831
5,1,3,1,right,0.002232753963559658
5,2,3,2,up,0.0035419091480250603
5,3,2,2,down,0.002232753963559658
5,4,3,2,down,0.0012430283511167908
5,5,4,2,right,0.0015588105421912846
5,6,4,3,right,0.9564331796964578
5,7,4,4,down,0.9564331796964578
5,8,4,4,up,0.0012391330108307383
5,9,3,4,down,0.9564331796964578
5,10,4,4,down,0.9564331796964578
5,11,4,4,right,0.9564331796964578
5,12,4,4,right,0.9564331796964578
5,13,4,4,right,0.9564331796964578
5,14,4,4,down,0.9564331796964578
6,0,0,0,up,0.00021274193406403322
6,1,0,0,right,0.004045136005759829
6,2,0,1,right,0.003114516138082274
6,3,0,2,down,0.003685439769845794
6,4,1,2,right,0.0025576474038634853
6,5,1,3,down,0.0009034686616626656
