trajectory_id,step,row,col,action,reward
6,6,2,3,down,0.0018378563735049717
6,7,3,3,down,0.0015588105421912846
6,8,4,3,up,0.0018378563735049717
6,9,3,3,down,0.0015588105421912846
6,10,4,3,up,0.0018378563735049717
6,11,3,3,right,0.0012391330108307383
6,12,3,4,down,0.9564331796964578
6,13,4,4,left,0.0015588105421912846
6,14,4,3,right,0.9564331796964578
7,0,1,1,down,0.0041268099563340635
7,1,2,1,down,0.001294501663823831
7,2,3,1,right,0.002232753963559658
7,3,3,2,down,0.0012430283511167908
7,4,4,2,up,0.002232753963559658
7,5,3,2,down,0.0012430283511167908
7,6,4,2,down,0.0012430283511167908
7,7,4,2,right,0.0015588105421912846
7,8,4,3,right,0.9564331796964578
7,9,4,4,right,0.9564331796964578
7,10,4,4,right,0.9564331796964578
7,11,4,4,right,0.9564331796964578
7,12,4,4,down,0.9564331796964578
7,13,4,4,right,0.9564331796964578
7,14,4,4,left,0.0015588105421912846
8,0,4,4,right,0.9564331796964578
8,1,4,4,right,0.9564331796964578
8,2,4,4,down,0.9564331796964578
8,3,4,4,down,0.9564331796964578
8,4,4,4,down,0.9564331796964578
8,5,4,4,down,0.9564331796964578
8,6,4,4,right,0.9564331796964578
8,7,4,4,right,0.9564331796964578
8,8,4,4,up,0.0012391330108307383
8,9,3,4,down,0.9564331796964578
8,10,4,4,down,0.9564331796964578
8,11,4,4,down,0.9564331796964578
8,12,4,4,down,0.9564331796964578
8,13,4,4,down,0.9564331796964578
8,14,4,4,right,0.9564331796964578
9,0,0,4,down,0.003012734593160727
9,1,1,4,down,0.00077363590369536
9,2,2,4,down,0.0012391330108307383
9,3,3,4,down,0.9564331796964578
9,4,4,4,right,0.9564331796964578
9,5,4,4,right,0.9564331796964578
9,6,4,4,down,0.9564331796964578
9,7,4,4,down,0.9564331796964578
9,8,4,4,down,0.9564331796964578
9,9,4,4,down,0.9564331796964578
9,10,4,4,up,0.0012391330108307383
9,11,3,4,down,0.9564331796964578
9,12,4,4,left,0.0015588105421912846
9,13,4,3,up,0.0018378563735049717
9,14,3,3,down,0.0015588105421912846
